Page,Pastel #,Type,Proposed change (Jason's words),APPROVE? (Yes/Tweak/Skip),Your edit or note,Screenshot (click to view pin)
Homepage,2,Text change,"From enabling works and site clearance through to completed surfacing and external works, one experienced team delivering across commercial, residential and developer projects throughout Surrey.",,,https://user-assets.usepastel.com/screenshot/lxUbBhLLPdQF7m8H.jpg
Homepage,3,Remove/clarify - what here?,Reduce the Padding gap here.,,,https://user-assets.usepastel.com/screenshot/ishS4pjhI6cucgQx.jpg
Homepage,4,Remove/clarify - what here?,Reduce padding gap,,,https://user-assets.usepastel.com/screenshot/EcYtWeglVlxyqPu2.jpg
Homepage,6,Text change,& SouthEast,,,https://user-assets.usepastel.com/screenshot/Q5T1GyIqG4V8aovS.jpg
Homepage,7,Text change,Years of experience,,,https://user-assets.usepastel.com/screenshot/YY2nYGHjawoX6Rjh.jpg
Homepage,8,Text change,Established across Surrey & London,,,https://user-assets.usepastel.com/screenshot/oZVpmXaHP7rhuU0a.jpg
Homepage,9,Text change,One contractor from start to finish.,,,https://user-assets.usepastel.com/screenshot/VDuhkJG0JrbIy0NS.jpg
Homepage,15,Text change,"Were a fully Accredited and isured contractor, you can ensure every project undertaken safeley and effectiently.",,,https://user-assets.usepastel.com/screenshot/9zJrHJU1ke1PSCGB.jpg
Homepage,16,Text change,"One contractor, one point of contact from start to finish. No miscommunication — complete integrity and transparency through every stage of the project.",,,https://user-assets.usepastel.com/screenshot/fk3PmvXHRrneKv6k.jpg
Homepage,21,Text change,Surrey Contracting Limited is a Site enabling,,,https://user-assets.usepastel.com/screenshot/XFbFn1yDrVj1unmt.jpg
Homepage,22,Text change,Years Deliverinmg projects across Surrey & London,,,https://user-assets.usepastel.com/screenshot/p6eXX74z3xTBrQej.jpg
Homepage,23,Text change,"We have been successfully delivering residential and commercial external works projects for over 15 years, providing turnkey solutions for developers, main contractors, homeowners, self-builders, local businesses and established organisations. No project is too small or too large. Every project receives the same level of expertise, care and professional service from start to finish.",,,https://user-assets.usepastel.com/screenshot/OBp6kp46VCQKHDct.jpg
Homepage,24,Text change,"We manage every stage of the project in-house, from site clearance through to the finished surface. With our experienced team and structured approach, you can be confident your project will be delivered on time, to a high standard, and with quality maintained right through to handover.",,,https://user-assets.usepastel.com/screenshot/8li6lYv2XCmVmFbU.jpg
Homepage,25,Text change,"Turnkey solutions for projects of all sizes and complexities, providing reliable services for residential, commercial and contractor-led works.",,,https://user-assets.usepastel.com/screenshot/HkVNHBObBgRgU4Vp.jpg
Homepage,26,Text change,"Surfacing soultions for Car parks, roadways, indrustrial estates and commercial sites. We offer ashphalt surfacing, resin - bound surfacing, block paving and paving. One contractor from the base works rite through to the finished surface.",,,https://user-assets.usepastel.com/screenshot/57aSFbv1B0hgOYhl.jpg
Homepage,27,Text change,Residential,,,https://user-assets.usepastel.com/screenshot/Hfptv17Pj7PK8vn4.jpg
Homepage,28,Text change,Commercial,,,https://user-assets.usepastel.com/screenshot/kekIHh5kMhCPrIqZ.jpg
Homepage,29,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/YuSf5lPOBJBWLNd6.jpg
Homepage,30,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/M6VtYMJClaiJyqoQ.jpg
Homepage,31,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/93GdJIJ2TW2v1CVO.jpg
Homepage,33,Text change,Site survey,,,https://user-assets.usepastel.com/screenshot/Ogxja4kw4NGr3QVQ.jpg
Homepage,38,Text change,Contact us about your project.,,,https://user-assets.usepastel.com/screenshot/odSuXuC5qUsngnlD.jpg
Homepage,39,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/vg0hFiTQxuXkxvOH.jpg
Demolition,41,Text change,wwws,,,https://user-assets.usepastel.com/screenshot/OEnj3bPfoIQ1gLCI.jpg
Demolition,121,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/UaGKCSWnVhgVsMrk.jpg
Demolition,122,Text change,Demolition,,,https://user-assets.usepastel.com/screenshot/eZoeOH7kRDykL7bn.jpg
Demolition,123,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/oFADa10QzpNpOQ2X.jpg
Demolition,124,Remove/clarify - what here?,Change to match wording,,,https://user-assets.usepastel.com/screenshot/P8LrcwGgg69hXPKw.jpg
Demolition,125,Text change,Change - Surrey Contracting Limited,,,https://user-assets.usepastel.com/screenshot/yp2diDRzvByB3AXy.jpg
Demolition,133,Text change,Demolition,,,https://user-assets.usepastel.com/screenshot/EP3fLaREfjNZljxg.jpg
Groundworks,54,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/LV7FGW03C2GLShAz.jpg
Groundworks,55,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/VgkWQG4Ueck5zhKB.jpg
Groundworks,126,Remove/clarify - what here?,Change to match wording,,,https://user-assets.usepastel.com/screenshot/lsb3M8pWMYfuoM2W.jpg
Groundworks,127,Text change,Add in Demolition,,,https://user-assets.usepastel.com/screenshot/tVpX5acb9wdtYRtM.jpg
Groundworks,128,Text change,Surrey Contracting Limited,,,https://user-assets.usepastel.com/screenshot/E8RBMCHfbYt9BzNQ.jpg
Groundworks,134,Text change,Demolition,,,https://user-assets.usepastel.com/screenshot/NDt89oHAOMXqyPWl.jpg
Earthworks,67,Remove/clarify - what here?,Remove,,,https://user-assets.usepastel.com/screenshot/jqXuwIoraJhia73J.jpg
